team1,team1_url,team1_logo,term
Миннесота Уайлд,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102861/result/,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102861/result/,hokkey>nhl
Аризона Койотс,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102903/result/,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102903/result/,hokkey>nhl
Калгари Флэймз,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102885/result/,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102885/result/,hokkey>nhl
Чикаго Блэкхоукс,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102895/result/,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102895/result/,hokkey>nhl
Бостон Брюинз,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102853/result/,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102853/result/,hokkey>nhl
Анахайм Дакс,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102863/result/,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102863/result/,hokkey>nhl
Филадельфия Флайерз,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102871/result/,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102871/result/,hokkey>nhl
Виннипег Джетс,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102849/result/,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102849/result/,hokkey>nhl
Нэшвилл Предаторз,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102847/result/,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102847/result/,hokkey>nhl
Флорида Пантерз,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102877/result/,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102877/result/,hokkey>nhl
Монреаль Канадиенс,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102901/result/,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102901/result/,hokkey>nhl
Эдмонтон Ойлерз,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102891/result/,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102891/result/,hokkey>nhl
Красная Армия,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112209/result/,https://img.championat.com/team/logo/1534539483404828900.png,hokkey>mhl
Реактор,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112229/result/,https://img.championat.com/team/logo/15530023131568650881.png,hokkey>mhl
МХК Динамо СПб,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112223/result/,https://img.championat.com/team/logo/15355405011543099097.png,hokkey>mhl
СКА-1946,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112237/result/,https://img.championat.com/team/logo/15355405511887981522.png,hokkey>mhl
Сибирские Снайперы,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112235/result/,https://img.championat.com/team/logo/15061788671967980796.png,hokkey>mhl
Кузнецкие Медведи,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112213/result/,https://img.championat.com/team/logo/15530024831394802772.png,hokkey>mhl
Стальные Лисы,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112245/result/,https://img.championat.com/team/logo/1535626775434301999.png,hokkey>mhl
Спутник Ал,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112243/result/,https://img.championat.com/team/logo/1534539528464561128.png,hokkey>mhl
Сарматы,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112233/result/,https://img.championat.com/team/logo/155300228157367192.png,hokkey>mhl
Мамонты Югры,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112219/result/,https://img.championat.com/team/logo/15530024072000250315.png,hokkey>mhl
Тюменский Легион,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112251/result/,https://img.championat.com/team/logo/1553002087911048918.png,hokkey>mhl
Локо,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112217/result/,https://img.championat.com/team/logo/14768236802034612590.png,hokkey>mhl
Алмаз,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112197/result/,https://img.championat.com/team/logo/15396362351790230025.png,hokkey>mhl
ХК Рига,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112255/result/,https://img.championat.com/team/logo/15033850031742199856.png,hokkey>mhl
СКА-Варяги,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112239/result/,https://img.championat.com/team/logo/15355404081186695345.png,hokkey>mhl
Атланты,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112203/result/,https://img.championat.com/team/logo/15530026251827853032.png,hokkey>mhl
Амурские Тигры,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112201/result/,https://img.championat.com/team/logo/14873421101455866028.png,hokkey>mhl
Русские Витязи,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112231/result/,https://img.championat.com/team/logo/1553002356800346070.png,hokkey>mhl
Капитан,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112253/result/,https://img.championat.com/team/logo/15530025161830987548.png,hokkey>mhl
МХК Динамо М,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112221/result/,https://img.championat.com/team/logo/1506178735229888648.png,hokkey>mhl
Авто,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112195/result/,https://img.championat.com/team/logo/15528686911364929164.png,hokkey>mhl
Толпар,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112249/result/,https://img.championat.com/team/logo/1553002148979257369.png,hokkey>mhl
Белые Медведи,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112205/result/,https://img.championat.com/team/logo/15530025821445559807.png,hokkey>mhl
Ладья,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112215/result/,https://img.championat.com/team/logo/1553002446462570952.png,hokkey>mhl
Ирбис,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112207/result/,https://img.championat.com/team/logo/1553002547691894114.png,hokkey>mhl
МХК Спартак,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112225/result/,https://img.championat.com/team/logo/15054223591722226209.png,hokkey>mhl
Тайфун,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112247/result/,https://img.championat.com/team/logo/1487343827840782905.png,hokkey>mhl
Крылья Советов,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112211/result/,https://img.championat.com/team/logo/15061789151827512747.png,hokkey>mhl
КРС-Хэйлунцзян,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112191/result/,https://img.championat.com/team/logo/1535540604517176906.png,hokkey>mhl
Алтай,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112199/result/,https://img.championat.com/team/logo/1487342034794699859.png,hokkey>mhl
